,age_ma,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
530,76.4,0.0,3.65,1.5550000000000002,0.02,0.7250000000000001,0.06,0.93,1.36,0.39,15.19,6.34,89.66,39.87,97.86749999999999,51.11,172.63875000000002,2.75,4362.796250000004,475.4,10.25
531,58.4,0.0,2.08,1.04,26.72,0.45,2.56,4.67,0.18,36.58,15.98,218.6,93.89,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12504.0,1007.0,451.7
532,57.0,0.0,1.77,0.23,5.07,0.13,2.01,6.08,0.04,58.98,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13863.0,1142.375,312.7
533,59.5,0.0,2.8,0.14,28.33,0.12,1.31,3.77,0.18,24.64,10.36,142.1,60.76,293.4,68.83,676.1,139.5,1884.0,13225.0,1063.0,464.3
534,56.5,0.0,1.6,0.41,25.62,0.18,1.24,3.78,0.09,29.38,13.84,193.1,79.47,383.6,86.3,824.6,168.4,2421.0,13303.0,1142.375,532.9
535,59.2,0.0,0.96,1.5550000000000002,24.17,0.7250000000000001,7.741250000000001,12.561250000000001,0.17,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13875.0,1142.375,701.7125000000001
536,58.9,0.0,1.59,1.13,13.6,0.31,2.44,3.43,0.32,22.81,10.01,140.8,60.57,294.9,66.24,666.6,138.0,1846.0,14595.0,955.0,292.0
537,58.9,0.0,1.53,1.5550000000000002,41.16,0.7250000000000001,7.741250000000001,4.19,0.15,20.93,8.82,123.4,53.06,260.2,60.42,605.1,123.7,1646.0,13207.0,958.0,460.4
538,57.9,0.0,0.72,0.01,12.21,0.03,0.59,2.46,0.09,20.15,9.49,135.6,58.85,287.8,65.67,646.4,130.7,1791.0,14354.0,812.0,250.4
539,56.9,0.0,2.06,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,10.78,0.37,34.73,12.87,162.0,67.18,321.7,71.25,708.4,145.1,2044.0,12327.0,1088.0,701.7125000000001
540,58.0,0.0,0.92,0.36,9.91,0.14,0.89,2.47,0.01,24.34,11.09,168.0,72.51,356.3,80.05,782.9,161.6,2194.0,14626.0,826.0,218.9
541,58.7,0.0,2.8,1.5550000000000002,60.95,0.7250000000000001,7.741250000000001,6.79,0.29,26.94,10.69,143.7,62.17,304.3,70.48,709.4,146.0,1903.0,13443.0,1142.375,701.7125000000001
542,56.9,0.0,1.03,0.01,13.24,0.68,0.69,2.05,0.06,19.44,8.91,130.8,56.55,281.8,63.39,632.6,130.8,1737.0,13673.0,735.0,230.5
543,59.6,0.0,1.16,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,0.38,27.67,9.46,119.9,47.53,232.5,52.62,512.8,103.8,1472.0,12946.0,763.0,323.6
544,56.7,0.0,1.71,0.81,26.75,0.33,2.07,2.87,0.14,17.17,7.47,104.4,44.46,223.6,52.05,519.9,108.2,1394.0,12795.0,692.0,308.9
545,57.4,0.0,1.92,1.47,36.68,0.65,3.62,3.95,0.21,23.89,9.83,129.9,53.87,259.7,56.96,562.2,113.6,1632.0,12696.0,767.0,427.6
546,54.5,0.0,1.14,0.11,9.85,0.04,0.57,4.09,0.04,35.98,16.94,242.8,104.5,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,14355.0,1142.375,390.7
547,57.0,0.0,1.53,1.5550000000000002,52.67,0.7250000000000001,7.741250000000001,7.16,0.23,38.14,15.68,212.3,87.93,419.4,93.76,890.7,172.63875000000002,2650.0,12891.0,1142.375,701.7125000000001
548,56.0,0.0,1.26,0.05,14.11,0.08,1.04,4.03,0.04,36.34,17.3,243.3,103.0,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13164.0,1142.375,426.7
549,59.3,0.0,1.46,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,8.51,0.23,22.96,8.58,111.8,45.51,218.7,50.3,498.3,102.1,1399.0,12776.0,732.0,323.8
550,56.4,0.0,1.49,1.5550000000000002,51.89,0.7250000000000001,7.741250000000001,6.84,0.2,29.29,12.27,162.72,67.12,318.0,71.06,701.2,142.26,2029.0,12394.0,1131.0,584.6
551,56.9,0.0,1.95,0.12,11.58,0.08,0.95,3.06,0.06,27.24,13.19,186.95,81.43,395.0,88.52,859.9,172.63875000000002,2465.0,13753.0,1113.0,322.5
552,62.1,0.0,2.76,0.97,23.87,0.37,2.3,3.26,0.13,25.19,10.48,149.01,62.5,307.8,69.36,676.5,139.29,1922.0,12430.0,852.0,360.7
553,59.4,0.0,0.98,0.03,4.1,0.04,1.0,4.8,0.03,52.68,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12838.0,1142.375,288.5
554,57.6,0.0,1.68,1.5550000000000002,43.28,0.7250000000000001,7.741250000000001,4.88,0.19,30.48,12.22,164.72,68.37,325.0,72.68,716.9,143.69,2048.0,12324.0,1142.375,600.1
555,56.4,0.0,2.39,0.03,61.504999999999995,0.16,5.4,12.561250000000001,0.6,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,9015.0,1142.375,701.7125000000001
556,57.6,0.0,0.8,0.01,12.48,0.02,1.6,7.85,0.02,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12136.0,1142.375,701.7125000000001
557,57.3,0.0,1.11,1.5550000000000002,8.93,0.02,0.88,4.06,0.03,44.72,20.07,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,11700.0,1142.375,505.5
558,55.8,0.0,0.95,1.5550000000000002,10.25,0.07,1.81,9.02,0.1,63.55499999999999,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13190.0,1142.375,701.7125000000001
559,53.5,0.0,1.68,0.14,45.04,0.15,1.86,7.01,0.06,56.66,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,12808.0,1142.375,701.7125000000001
560,56.1,0.0,0.98,1.5550000000000002,11.04,0.04,0.51,2.58,0.06,26.25,11.84,179.97,79.84,395.1,91.74,896.2,172.63875000000002,2436.0,13386.0,935.0,255.4
561,54.5,0.0,1.42,0.01,7.75,0.03,0.77,4.87,0.04,50.81,23.497500000000002,259.21625,106.1375,437.54375000000005,97.86749999999999,936.725,172.63875000000002,2804.0387500000006,13792.0,1142.375,453.6
562,56.0,0.0,7.87,1.5550000000000002,21.87,0.7250000000000001,6.17,4.07,0.52,20.68,7.73,102.6,41.75,202.2,44.98,440.4,92.08,1281.0,9662.0,491.0,308.9
563,54.0,0.0,4.12,1.5550000000000002,24.96,0.7250000000000001,7.741250000000001,4.25,0.26,16.45,6.0,77.39,31.89,156.0,34.92,346.1,72.92,989.0,10643.0,406.0,193.7
564,60.9,0.0,1.7,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,0.94,31.86,9.39,111.9,45.33,215.2,46.45,459.8,97.35,1361.0,10304.0,484.0,292.0
565,61.5,0.0,2.33,0.12,7.48,0.2,1.55,3.53,0.78,19.57,7.08,90.3,36.06,170.6,37.33,368.5,77.89,1111.0,9235.0,266.0,169.4
566,50.4,0.0,1.91,1.51,11.5,0.51,3.37,2.5,0.28,12.24,4.85,61.51,25.97,123.7,27.53,269.4,56.73,791.0,9672.0,195.0,89.7
567,56.7,0.0,1.41,0.03,6.43,0.2,2.13,4.41,0.86,22.98,8.09,97.28,38.08,178.4,37.61,355.1,73.18,1142.0,9557.0,178.0,94.9
568,55.5,0.0,3.1,0.07,61.504999999999995,0.15,4.9,12.22,2.64375,61.5,19.57,224.3,83.19,371.4,79.77,769.5,155.3,2649.0,8363.0,1142.375,701.7125000000001
569,62.5,0.0,8.49,0.26,10.33,0.01,0.87,2.28,0.19,14.89,5.59,77.51,31.95,154.1,34.25,337.3,71.43,971.0,9711.0,239.0,138.4
570,55.8,0.0,3.97,1.5550000000000002,28.78,0.7250000000000001,7.741250000000001,7.4,0.91,43.75,16.14,205.8,82.14,379.2,79.88,753.1,151.9,2376.0,9355.0,798.0,542.3
571,60.4,0.0,23.759999999999998,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,12.561250000000001,1.56,47.18,15.26,189.7,74.34,352.2,77.81,762.7,159.8,2260.0,9286.0,727.0,503.6
572,59.7,0.0,8.26,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,11.29,0.58,21.99,6.67,78.13,31.65,156.1,35.9,359.7,76.8,993.0,10616.0,386.0,173.8
573,55.3,0.0,3.6,0.81,17.25,0.4,2.3,4.38,0.81,28.59,10.37,139.3,56.51,266.8,58.65,566.0,118.5,1728.0,9128.0,691.0,562.2
574,53.8,0.0,4.28,0.51,11.0,0.24,1.82,3.76,0.57,29.47,11.78,156.6,65.9,321.6,70.49,682.7,143.1,1992.0,10058.0,640.0,333.0
575,60.8,0.0,0.49,1.5550000000000002,47.15,0.7250000000000001,7.741250000000001,8.31,1.38,26.79,9.19,114.5,46.03,218.5,47.46,453.6,94.65,1399.0,9094.0,541.0,404.5
576,55.6,0.0,5.68,1.5550000000000002,57.19,0.7250000000000001,7.741250000000001,11.63,0.89,50.12,16.42,202.9,75.46,335.7,68.78,637.8,124.5,2281.0,10763.0,359.0,295.4
577,59.0,0.0,2.71,1.5550000000000002,42.43,0.7250000000000001,7.741250000000001,9.69,1.35,33.43,11.43,144.3,59.74,286.6,63.45,631.1,132.9,1821.0,8664.0,530.0,406.1
578,57.3,0.0,1.04,1.5550000000000002,4.78,0.02,0.56,1.69,0.2,10.42,3.98,55.93,23.79,115.4,25.95,257.5,54.98,716.0,8893.0,225.0,112.7
579,56.2,0.0,1.9,1.5550000000000002,40.7,0.7250000000000001,7.741250000000001,6.15,0.61,26.66,9.59,124.5,51.31,251.6,56.64,558.2,117.8,1594.0,10501.0,553.0,302.5
580,64.4,0.0,0.95,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,10.8,0.84,33.0,10.47,128.8,50.18,236.7,50.46,482.5,100.7,1520.0,9687.0,287.0,151.6
581,61.0,0.0,9.31,1.5550000000000002,61.504999999999995,0.7250000000000001,7.741250000000001,11.85,0.65,24.4,7.59,90.67,38.0,180.8,40.67,401.7,85.56,1155.0,10809.0,482.0,221.4
582,57.0,0.0,19.78,0.43,15.12,0.37,4.89,6.68,1.79,35.07,12.56,156.1,63.14,298.7,68.42,668.9,141.7,1936.0,8659.0,362.0,229.8
583,232.0,0.0,5.76,0.17,3.54,0.22,2.32,2.12,0.13,8.74,2.85,38.8,13.9,67.3,13.5,145.0,25.4,457.0,14413.0,650.0,133.0
584,233.0,0.0,3.79,0.01,3.17,0.01,0.44,1.38,0.16,9.64,3.33,42.1,14.5,68.7,14.3,152.0,25.6,479.0,14805.0,931.0,183.0
585,224.0,0.0,15.5,0.01,3.76,0.07,2.69,4.8,0.41,18.9,4.02,34.4,8.45,28.4,4.5,40.0,5.44,286.0,10921.0,239.0,119.0
586,232.0,0.0,15.9,0.03,4.54,0.29,5.78,8.83,0.71,29.3,6.71,59.7,16.3,57.9,9.55,95.1,14.1,521.0,11004.0,247.0,158.0
587,250.0,0.0,15.6,0.01,4.09,0.2,3.33,6.42,0.31,25.6,5.73,50.5,13.3,43.9,7.14,62.6,8.57,441.0,11329.0,256.0,137.0
588,233.0,0.0,13.2,0.05,6.52,0.31,5.82,9.32,0.81,27.6,6.26,56.8,15.5,55.4,9.13,87.4,12.4,501.0,10995.0,452.0,268.0
589,235.0,0.0,6.78,0.01,4.04,0.1,1.23,3.01,0.2,16.2,4.28,50.9,17.6,79.9,16.1,171.0,29.2,575.0,13503.0,629.0,163.0
590,242.0,0.0,17.0,0.02,5.42,0.18,2.92,5.71,0.4,21.0,4.78,39.9,9.19,30.4,4.74,36.2,4.8,320.0,11563.0,159.0,101.0
591,226.0,0.0,14.6,0.03,5.08,0.3,6.54,12.561250000000001,1.43,38.4,8.91,76.2,20.2,64.9,9.51,79.0,10.6,632.0,10704.0,502.0,157.0
592,253.0,0.0,16.2,0.02,3.44,0.11,2.73,5.56,0.51,18.9,4.54,42.5,11.5,41.2,6.86,62.2,9.56,368.0,10728.0,217.0,109.0
593,231.0,0.0,17.9,0.27,3.2,0.11,2.72,5.5,0.45,18.9,4.56,41.6,11.7,39.3,6.58,59.3,8.52,377.0,10894.0,214.0,91.5
594,253.0,0.0,3.86,0.02,2.39,0.03,0.58,1.31,0.11,8.97,3.27,43.3,16.3,81.0,17.9,206.0,35.2,555.0,14185.0,952.0,121.0
595,246.0,0.0,3.73,0.03,2.76,0.01,0.32,1.39,0.16,10.1,3.34,41.5,15.4,70.4,14.6,155.0,26.9,495.0,14976.0,973.0,188.0
596,244.0,0.0,1.88,0.06,2.52,0.01,0.21,1.37,0.11,10.4,3.52,45.5,17.4,86.0,17.8,199.0,33.6,577.0,15248.0,1003.0,173.0
597,247.0,0.0,23.759999999999998,0.03,3.83,0.25,3.47,6.98,0.65,25.8,6.14,56.2,14.6,52.8,8.76,79.7,11.5,490.0,10449.0,192.0,133.0
598,237.0,0.0,19.8,0.02,4.9,0.3,4.82,8.56,0.69,31.4,6.75,62.0,14.5,46.2,6.97,59.2,7.57,493.0,10606.0,348.0,182.0
599,223.0,0.0,20.8,0.04,7.6,0.67,7.741250000000001,12.561250000000001,0.97,56.5,11.9,93.0,20.1,56.2,7.36,56.8,6.13,657.0,11187.0,347.0,277.0
